"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"TT + TT * sex + FM",6,-175.556721251666,0,1,0.269221694579869,94.0565063211973,0.269221694579869
"TT + TT * sex + TT * CA + IOD + FM",9,-175.049708183773,0.507013067893354,0.776074674078033,0.208936138875807,97.1329621999945,0.478157833455676
"TT + TT * sex + TT * FM",7,-174.391111440066,1.16560981159972,0.558330104831098,0.150314576957584,94.5688890533665,0.628472410413261
"TT + TT * sex + TT * FM + TT * IOD",9,-174.283471305165,1.27324994650093,0.529075056603175,0.142438483298647,96.7498437606907,0.770910893711907
"TT + TT * sex + CA + FM",7,-173.650981087216,1.90574016445009,0.385632636259431,0.103820671819066,94.1988238769413,0.874731565530974
"TT + TT * sex + TT * FM + TT * CA",9,-173.36713405678,2.1895871948864,0.334608663905354,0.0900839115177052,96.2916751364979,0.964815477048679
"TT + TT * sex + TT * FM + TT * CN",9,-170.84362436812,4.713096883546,0.0947466831681715,0.0255078625983571,95.0299202921681,0.990323339647036
"TT + TT * sex",5,-167.886247586529,7.67047366513674,0.0215962231754638,0.00581417179982341,89.1404922143173,0.996137511446859
"TT + TT * sex + TT * CA",7,-165.627146685616,9.92957456604992,0.00697943519554913,0.00187901537055612,90.1869066761414,0.998016526817415
"TT + TT * sex + TT * CN",7,-164.613068094055,10.9436531576115,0.00420354703147243,0.00113168605505918,89.6798673803606,0.999148212872475
"TT + TT * sex + TT * IOD",7,-163.714998975718,11.8417222759477,0.00268288884444504,0.00072229188107092,89.2308328211925,0.999870504753546
"TT + TT * FM",5,-160.071406814134,15.4853144375315,0.00043391702934461,0.000116819877947219,85.2330718281199,0.999987324631493
"TT",3,-154.6735550073,20.8831662443658,2.91929556638478e-05,7.8593769936161e-06,80.4146995815722,0.999995184008486
"TT + TT * CA",5,-152.189146595974,23.3675746556918,8.42938006461794e-06,2.26937198525421e-06,81.2919417190398,0.999997453380472
"TT + TT * CN",5,-151.400900739895,24.1558205117705,5.68368791061035e-06,1.53017209075763e-06,80.8978187910004,0.999998983552562
"TT + TT * IOD",5,-150.582767613825,24.9739536378408,3.77550345376304e-06,1.01644743771423e-06,80.4887522279653,1
